,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,D1,A1_1,A2_1,A3_1,A4_1,A5_1,A6_1,A7_1,A8_1,A9_1,A10_1,A11_1,A12_1,A13_1,A14_1,A15_1,A16_1,A17_1,A18_1,A19_1,A20_1,A21_1,A22_1,A23_1,A24_1,A25_1,A26_1,A27_1,A28_1
10,2026-05-11 06:30:21,2026-05-11 06:41:27,0,anonymized,100,666,1,2026-05-11 06:41:28,R_2Gjj5rIbuN7WTsf,anonymized,anonymized,anonymized,,anonymized,anonymized,anonymous,EN,1,88,62,6,0,100,70,16,100,43,5,6,4,6,7,68,24,21,8,13,11,95,53,8,57,3,9,34,19
11,2026-05-11 09:56:09,2026-05-11 09:58:26,0,anonymized,100,136,1,2026-05-11 09:58:26,R_7hmvp35AteVtUMV,anonymized,anonymized,anonymized,,anonymized,anonymized,anonymous,EN,2,67,60,72,56,49,70,19,58,60,36,50,27,29,37,26,38,40,30,69,45,80,49,53,83,20,24,62,68
12,2026-05-11 13:36:22,2026-05-11 13:40:39,0,anonymized,100,257,1,2026-05-11 13:40:39,R_9pXhtldqVSGD0SD,anonymized,anonymized,anonymized,,anonymized,anonymized,anonymous,EN,2,70,80,30,20,30,30,40,80,50,60,30,55,20,65,80,40,30,41,70,70,60,40,40,90,60,70,70,70
13,2026-05-12 15:56:13,2026-05-12 16:00:42,0,anonymized,100,268,1,2026-05-12 16:00:43,R_90dBVZEYLloEoEC,anonymized,anonymized,anonymized,,anonymized,anonymized,anonymous,EN,2,53,32,25,32,14,73,14,34,17,61,19,72,58,8,19,27,36,23,49,26,66,56,54,83,34,39,72,82
14,2026-05-13 01:04:36,2026-05-13 01:08:11,0,anonymized,100,214,1,2026-05-13 01:08:12,R_2otEC8Qb2LLmXag,anonymized,anonymized,anonymized,,anonymized,anonymized,anonymous,EN,1,61,58,76,76,94,86,69,81,92,93,55,58,63,48,75,99,47,45,87,100,71,100,64,95,96,61,58,91
15,2026-05-13 01:09:33,2026-05-13 01:14:48,0,anonymized,100,315,1,2026-05-13 01:14:49,R_8xrOzSEuogufWOB,anonymized,anonymized,anonymized,,anonymized,anonymized,anonymous,EN,1,50,40,17,1,85,90,6,6,30,40,5,70,78,15,6,60,-99,79,35,85,70,77,-99,5,4,15,-99,-99
16,2026-05-13 01:26:50,2026-05-13 01:30:56,0,anonymized,100,245,1,2026-05-13 01:30:56,R_8JPcd66TVdz0JfX,anonymized,anonymized,anonymized,,anonymized,anonymized,anonymous,EN,1,35,8,52,38,94,94,19,42,14,14,74,82,93,74,55,83,78,43,64,36,99,95,14,73,62,14,27,42
17,2026-05-13 03:55:16,2026-05-13 04:00:33,0,anonymized,100,316,1,2026-05-13 04:00:34,R_2Bvh5Qo9eECGo4F,anonymized,anonymized,anonymized,,anonymized,anonymized,anonymous,EN,1,33,40,10,15,100,100,22,25,12,76,12,100,43,6,35,93,17,30,23,35,100,23,13,22,8,4,36,12
18,2026-05-13 03:59:28,2026-05-13 04:02:51,0,anonymized,100,203,1,2026-05-13 04:02:51,R_2OxiRJqNsXgGRVv,anonymized,anonymized,anonymized,,anonymized,anonymized,anonymous,EN,1,71,59,33,65,24,15,14,52,51,36,53,18,8,7,21,29,26,25,32,38,62,80,10,100,13,7,76,100
19,2026-05-13 21:46:23,2026-05-13 21:49:15,0,anonymized,100,172,1,2026-05-13 21:49:16,R_9paigvx21Y8EYvv,anonymized,anonymized,anonymized,,anonymized,anonymized,anonymous,EN,2,62,74,45,50,60,50,40,31,58,45,26,35,71,45,30,31,38,23,55,50,61,80,62,66,52,42,53,39
